elapsed_seconds,throughput_tflops,telemetry
317.82479786872864,20.05119827001297,"['2026/09/22 22:54:13.226', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
322.8664436340332,20.155702443219003,"['2026/09/22 22:54:18.272', ' 3', ' 49', ' 32.08', ' 585', ' 5000']"
327.9101810455322,20.2130762527864,"['2026/09/22 22:54:23.313', ' 0', ' 49', ' 28.23', ' 585', ' 5000']"
332.9519097805023,20.231666932158614,"['2026/09/22 22:54:28.357', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
337.994366645813,20.15019419809317,"['2026/09/22 22:54:33.399', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
343.0423493385315,20.06133078590803,"['2026/09/22 22:54:38.445', ' 0', ' 49', ' 32.56', ' 585', ' 5000']"
348.08658480644226,20.205537257969617,"['2026/09/22 22:54:43.491', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
353.1294479370117,20.211114443698474,"['2026/09/22 22:54:48.533', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
358.17456674575806,20.22144794448279,"['2026/09/22 22:54:53.576', ' 0', ' 49', ' 31.98', ' 585', ' 5000']"
363.21630859375,20.213709463142052,"['2026/09/22 22:54:58.621', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
368.26095747947693,20.207135518551798,"['2026/09/22 22:55:03.663', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
373.30305099487305,20.262433756343125,"['2026/09/22 22:55:08.708', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
378.3478374481201,20.011408434837517,"['2026/09/22 22:55:13.753', ' 0', ' 49', ' 41.87', ' 585', ' 5000']"
383.3940808773041,20.228909496857653,"['2026/09/22 22:55:18.794', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
388.43514370918274,20.26249947631389,"['2026/09/22 22:55:23.841', ' 6', ' 49', ' 28.14', ' 585', ' 5000']"
393.48226284980774,20.214937350987906,"['2026/09/22 22:55:28.883', ' 0', ' 49', ' 35.21', ' 585', ' 5000']"
398.52393198013306,19.943968612026666,"['2026/09/22 22:55:33.930', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
403.567684173584,20.286201376931853,"['2026/09/22 22:55:38.971', ' 0', ' 49', ' 28.23', ' 585', ' 5000']"
408.6126778125763,20.1296918397379,"['2026/09/22 22:55:44.015', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
413.6536023616791,20.14740576303967,"['2026/09/22 22:55:49.059', ' 0', ' 49', ' 44.11', ' 585', ' 5000']"
418.69442105293274,20.21560041296539,"['2026/09/22 22:55:54.100', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
423.74425530433655,20.174300216494142,"['2026/09/22 22:55:59.144', ' 6', ' 49', ' 28.14', ' 585', ' 5000']"
428.78627371788025,20.210255528893033,"['2026/09/22 22:56:04.192', ' 0', ' 49', ' 37.36', ' 585', ' 5000']"
433.82928705215454,20.195516759840004,"['2026/09/22 22:56:09.233', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
438.8714077472687,20.202080176100754,"['2026/09/22 22:56:14.277', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
443.9127757549286,20.23687416140571,"['2026/09/22 22:56:19.318', ' 0', ' 49', ' 31.69', ' 585', ' 5000']"
448.9577338695526,20.186929314750376,"['2026/09/22 22:56:24.360', ' 0', ' 49', ' 28.23', ' 585', ' 5000']"
453.999986410141,20.1982324460341,"['2026/09/22 22:56:29.405', ' 6', ' 49', ' 28.14', ' 585', ' 5000']"
459.0476815700531,20.11765543692981,"['2026/09/22 22:56:34.450', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
464.08868980407715,20.02198785755709,"['2026/09/22 22:56:39.494', ' 0', ' 49', ' 39.80', ' 585', ' 5000']"
469.130916595459,20.17695095690742,"['2026/09/22 22:56:44.535', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
474.17833042144775,20.243208070841153,"['2026/09/22 22:56:49.579', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
479.2244200706482,20.200542096112144,"['2026/09/22 22:56:54.629', ' 0', ' 49', ' 32.77', ' 585', ' 5000']"
484.26924896240234,20.180595010878832,"['2026/09/22 22:56:59.671', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
489.31053829193115,20.053600230835443,"['2026/09/22 22:57:04.716', ' 6', ' 49', ' 28.24', ' 585', ' 5000']"
494.35860562324524,19.951108013864395,"['2026/09/22 22:57:09.762', ' 0', ' 49', ' 31.39', ' 585', ' 5000']"
499.40097284317017,20.14028753027675,"['2026/09/22 22:57:14.806', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
504.4470760822296,20.20797634098944,"['2026/09/22 22:57:19.848', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
509.489581823349,20.216088073935378,"['2026/09/22 22:57:24.894', ' 0', ' 49', ' 30.99', ' 585', ' 5000']"
514.5360269546509,20.08180849221165,"['2026/09/22 22:57:29.937', ' 0', ' 49', ' 32.16', ' 585', ' 5000']"
519.5777938365936,20.249343073359153,"['2026/09/22 22:57:34.983', ' 6', ' 49', ' 28.14', ' 585', ' 5000']"
524.6236481666565,20.237610180999486,"['2026/09/22 22:57:40.025', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
529.672191619873,19.72205148117029,"['2026/09/22 22:57:45.074', ' 0', ' 49', ' 37.87', ' 585', ' 5000']"
534.7169449329376,20.266954493215728,"['2026/09/22 22:57:50.119', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
539.7602119445801,20.07687431073803,"['2026/09/22 22:57:55.164', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
544.8052668571472,20.188489046777995,"['2026/09/22 22:58:00.208', ' 0', ' 49', ' 37.38', ' 585', ' 5000']"
549.8468370437622,20.227275044183788,"['2026/09/22 22:58:05.252', ' 6', ' 49', ' 28.14', ' 585', ' 5000']"
554.8909494876862,20.126437497051715,"['2026/09/22 22:58:10.294', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
559.9370667934418,20.23513116953362,"['2026/09/22 22:58:15.342', ' 0', ' 49', ' 33.35', ' 585', ' 5000']"
564.9796841144562,20.246318353227444,"['2026/09/22 22:58:20.384', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
570.0202867984772,20.233328902906845,"['2026/09/22 22:58:25.426', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
575.0648348331451,20.021532849471125,"['2026/09/22 22:58:30.470', ' 0', ' 49', ' 30.90', ' 585', ' 5000']"
580.1088182926178,20.033022302947405,"['2026/09/22 22:58:35.512', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
585.1494987010956,20.093775585884522,"['2026/09/22 22:58:40.556', ' 3', ' 49', ' 28.14', ' 585', ' 5000']"
590.19185090065,20.211456246460894,"['2026/09/22 22:58:45.597', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
595.233823299408,20.241932028009426,"['2026/09/22 22:58:50.639', ' 0', ' 49', ' 40.79', ' 585', ' 5000']"
600.2756636142731,20.212463889010124,"['2026/09/22 22:58:55.681', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
605.316921710968,20.081189385625677,"['2026/09/22 22:59:00.723', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
610.368013381958,20.108775120798562,"['2026/09/22 22:59:05.767', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
615.4106953144073,20.25894822028431,"['2026/09/22 22:59:10.815', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
620.4547364711761,20.012993615657603,"['2026/09/22 22:59:15.857', ' 1', ' 49', ' 28.14', ' 585', ' 5000']"
625.49569439888,20.218654627396237,"['2026/09/22 22:59:20.902', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
630.5408596992493,20.175324889727815,"['2026/09/22 22:59:25.943', ' 0', ' 49', ' 43.33', ' 585', ' 5000']"
635.5816440582275,20.19934861224238,"['2026/09/22 22:59:30.987', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
640.6245136260986,20.194682909156903,"['2026/09/22 22:59:36.029', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
645.6694979667664,20.093696267406937,"['2026/09/22 22:59:41.075', ' 0', ' 49', ' 34.34', ' 585', ' 5000']"
650.7108597755432,20.083261045954583,"['2026/09/22 22:59:46.117', ' 6', ' 49', ' 28.14', ' 585', ' 5000']"
655.7549917697906,20.283405110256435,"['2026/09/22 22:59:51.158', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
660.796924829483,20.14347549903858,"['2026/09/22 22:59:56.202', ' 0', ' 49', ' 31.09', ' 585', ' 5000']"
665.8393831253052,20.253902740802783,"['2026/09/22 23:00:01.244', ' 0', ' 49', ' 36.41', ' 585', ' 5000']"
670.8858373165131,20.172150518633657,"['2026/09/22 23:00:06.287', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
675.9278256893158,20.15673409583831,"['2026/09/22 23:00:11.332', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
